id_cuisine,cuisine_description
51,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
37,Hamburgers
2,American
13,Café/Coffee/Tea
46,Italian
76,Spanish
47,Japanese
63,Pizza/Italian
50,Korean
17,Chicken
42,Indian
16,Caribbean
62,Pizza
68,Sandwiches
48,Jewish/Kosher
19,Chinese
33,French
53,Mexican
45,Irish
67,Salads
6,Bagels/Pretzels
38,Hawaiian
0,Afghan
61,Peruvian
52,Mediterranean
26,Delicatessen
28,Eastern European
9,Barbecue
79,Tex-Mex
35,German
29,Egyptian
71,Seafood
7,Bakery
80,Thai
83,Vietnamese/Cambodian/Malaysia
21,Chinese/Japanese
41,"Ice Cream, Gelato, Yogurt, Ices"
1,African
27,Donuts
74,Soups & Sandwiches
49,"Juice, Smoothies, Fruit Salads"
22,Continental
55,Moroccan
4,Asian
36,Greek
11,"Bottled beverages, including water, sodas, juices, etc."
40,Hotdogs/Pretzels
23,Creole
25,Czech
81,Turkish
64,Polish
78,Tapas
60,Pancakes/Waffles
73,Soups
54,Middle Eastern
58,Other
59,Pakistani
32,Filipino
20,Chinese/Cuban
69,Sandwiches/Salads/Mixed Buffet
82,Vegetarian
77,Steak
72,Soul Food
8,Bangladeshi
66,Russian
30,English
31,Ethiopian
65,Portuguese
18,Chilean
56,Not Listed/Not Applicable
39,Hotdogs
12,Brazilian
43,Indonesian
24,Creole/Cajun
3,Armenian
75,Southwestern
57,Nuts/Confectionary
15,Californian
5,Australian
70,Scandinavian
44,Iranian
14,Cajun
34,Fruits/Vegetables
10,Basque
